gene	inheritance	severe
FOXRED1	AR	no
FRA10AC1	AR	no
FRAS1	AR	no
FREM1	AR	no
FREM2	AR	no
FRMD4A	AR	no
FRMD7	XL	no
FRMPD4	XL	no
FRRS1L	AR	no
FSHB	AR	yes
FSHMD1A	AR	yes
FSHR	AR	yes
FSIP2	AR	no
FTCD	AR	no
FTL	AR	no
FTO	AR	yes
FTSJ1	XL	no
FUCA1	AR	no
FUS	AR	no
FUT6	AR	no
FUT8	AR	no
FXN	AR	yes
FXR1	AR	no
FYB1	AR	yes
FYCO1	AR	no
FZD6	AR	no
G6PC1	AR	yes
G6PC3	AR	yes
G6PD	XL	yes
GAA	AR	yes
GAB1	AR	yes
GAD1	AR	no
GALC	AR	yes
GALE	AR	yes
GALK1	AR	yes
GALM	AR	yes
GALNS	AR	yes
GALNT2	AR	no
GALNT3	AR	yes
GALT	AR	yes
GAMT	AR	yes
GAN	AR	no
GAS2	AR	yes
GAS8	AR	yes
GATA1	XL	yes
GATAD1	AR	no
GATB	AR	no
GATC	AR	no
GATM	AR	yes
GBA	AR	yes
GBA2	AR	no
GBE1	AR	yes
GCDH	AR	yes
GCGR	AR	yes
GCH1	AR	yes
GCK	AR	yes
GCLC	AR	yes
GCM2	AR	yes
GCNA	XL	no
GCNT2	AR	yes
GCSH	AR	yes
GDAP1	AR	no
GDAP2	AR	no
GDF1	AR	yes
GDF5	AR	no
GDF6	AR	yes
GDF9	AR	yes
GDI1	XL	no
GEMIN4	AR	yes
GEMIN5	AR	no
GET3	AR	no
GET4	AR	no
GFER	AR	no
GFM1	AR	no
GFM2	AR	no
GFPT1	AR	yes
GFRA1	AR	no
GGCX	AR	yes
GGN	AR	no
GGPS1	AR	yes
GGT1	AR	no
GH1	AR	yes
GHR	AR	yes
GHRHR	AR	yes
GHSR	AR	no
GIMAP5	AR	yes
GINS1	AR	yes
GIPC3	AR	yes
GJA1	AR	yes
GJA8	AR	no
GJB1	XL	no
GJB2	AR	yes
GJB6	AR	yes
GJC2	AR	no
GK	XL	yes
GLA	XL	yes
GLB1	AR	no
GLDC	AR	yes
GLDN	AR	no
GLE1	AR	no
GLI1	AR	no
GLIS2	AR	no
GLIS3	AR	yes
GLRA1	AR	yes
GLRA2	XL	no
GLRB	AR	yes
GLRX5	AR	yes
GLS	AR	no
GLUL	AR	yes
GLYCTK	AR	no
GM2A	AR	no
GMPPA	AR	no
GMPPB	AR	yes
GNAT1	AR	no
GNAT2	AR	no
GNB3	AR	no
GNB5	AR	yes
GNE	AR	yes
GNMT	AR	no
GNPAT	AR	no
GNPNAT1	AR	no
GNPTAB	AR	no
